id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at,course_id,combined_text,platform_encoded,level_encoded,price_encoded,rating_normalized,reviews_log,reviews_normalized,popularity_score
coursera_1,Coursera,"Python for Data Science, AI & Development","Skills you'll gain: Data Import/Export, Programming Principles, Web Scraping, File I/O, Python Programming, Jupyter, Data Structures, Pandas (Python Package), Data Manipulation, JSON, Computer Programming, Restful API, NumPy, Object Oriented Programming (OOP), Application Programming Interface (API), Automation, Data Analysis",Data Science,"data, science",IBM,0.0,43000,Free,Beginner,English,,https://www.coursera.org/learn/python-for-applied-data-science-ai,,2026-01-29T14:46:29.495030,1,python data science development skills gain data import export programming principles web scraping file python programming jupyter data structures pandas python package data manipulation json computer programming restful api numpy object oriented programming oop application programming interface api automation data analysis data science data science,1,1,0.0,0.0,10.668978650219241,0.7756007227171725,0.310240289086869
coursera_2,Coursera,What is Data Science?,"Skills you'll gain: Data Literacy, Data Mining, Big Data, Cloud Computing, Data Analysis, Data Science, Digital Transformation, Data-Driven Decision-Making, Deep Learning, Machine Learning, Artificial Intelligence",Data Science,"data, science",IBM,0.0,77000,Free,Beginner,English,,https://www.coursera.org/learn/what-is-datascience,,2026-01-29T14:46:29.742233,2,data science skills gain data literacy data mining big data cloud computing data analysis data science digital transformation data driven decision making deep machine artificial intelligence data science data science,1,1,0.0,0.0,11.251573687764477,0.8179535239538905,0.3271814095815562
coursera_3,Coursera,IBM Data Science,"Skills you'll gain: Exploratory Data Analysis, Dashboard, Data Visualization Software, Data Visualization, Model Evaluation, SQL, Unsupervised Learning, Interactive Data Visualization, Data Transformation, Supervised Learning, Jupyter, Data Analysis, Data Cleansing, Data Manipulation, Data Literacy, Plotly, Data Mining, Generative AI, Professional Networking, Data Import/Export",Data Science,"data, science",IBM,0.0,149000,Free,Beginner,English,,https://www.coursera.org/professional-certificates/ibm-data-science,,2026-01-29T14:46:30.003016,3,ibm data science skills gain exploratory data analysis dashboard data visualization software data visualization model evaluation sql unsupervised interactive data visualization data transformation supervised jupyter data analysis data cleansing data manipulation data literacy plotly data mining generative professional networking data import export data science data science,1,1,0.0,0.0,11.91170829631447,0.8659432047160197,0.34637728188640793
coursera_4,Coursera,Foundations of Data Science,"Skills you'll gain: Data Storytelling, Data Ethics, Data-Driven Decision-Making, Analytics, Workflow Management, Business Analytics, Data Science, Project Design, Data Visualization Software, Project Management, Communication, Stakeholder Communications",Data Science,"data, science",Google,0.0,3800,Free,Advanced,English,,https://www.coursera.org/learn/foundations-of-data-science,,2026-01-29T14:46:30.223207,4,foundations data science skills gain data storytelling data ethics data driven decision making analytics workflow management business analytics data science project design data visualization software project management communication stakeholder communications data science data science,1,3,0.0,0.0,8.24301946898925,0.5992412270305187,0.2396964908122075
coursera_5,Coursera,Databases and SQL for Data Science with Python,"Skills you'll gain: SQL, Relational Databases, Stored Procedure, Databases, Query Languages, Jupyter, Data Manipulation, Data Analysis, Pandas (Python Package), Transaction Processing, Python Programming",Data Science,"data, science",IBM,0.0,23000,Free,Beginner,English,,https://www.coursera.org/learn/sql-data-science,,2026-01-29T14:46:30.423484,5,databases sql data science python skills gain sql relational databases stored procedure databases query languages jupyter data manipulation data analysis pandas python package transaction processing python programming data science data science,1,1,0.0,0.0,10.043292972227004,0.7301153693432025,0.29204614773728105
coursera_6,Coursera,Data Science,"Skills you'll gain: Shiny (R Package), Rmarkdown, Exploratory Data Analysis, Model Evaluation, Regression Analysis, Version Control, Statistical Analysis, R Programming, Data Manipulation, Data Cleansing, Data Science, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Machine Learning Algorithms, Plotly, Plot (Graphics), Interactive Data Visualization, Machine Learning, GitHub",Data Science,"data, science",Johns Hopkins University,0.0,51000,Free,Beginner,English,,https://www.coursera.org/specializations/jhu-data-science,,2026-01-29T14:46:30.635079,6,data science skills gain shiny package rmarkdown exploratory data analysis model evaluation regression analysis version control statistical analysis programming data manipulation data cleansing data science statistical inference predictive modeling statistical hypothesis testing machine algorithms plotly plot graphics interactive data visualization machine github data science data science,1,1,0.0,0.0,10.839600519357369,0.7880043884618938,0.31520175538475753
coursera_7,Coursera,Data Analysis with Python,"Skills you'll gain: Exploratory Data Analysis, Model Evaluation, Data Transformation, Data Analysis, Data Cleansing, Data Manipulation, Data Import/Export, Predictive Modeling, Data Preprocessing, Regression Analysis, Data Science, Statistical Analysis, Pandas (Python Package), Scikit Learn (Machine Learning Library), Data-Driven Decision-Making, Matplotlib, Data Visualization, NumPy, Python Programming",Data Science,"data, science",IBM,0.0,20000,Free,Intermediate,English,,https://www.coursera.org/learn/data-analysis-with-python,,2026-01-29T14:46:30.833852,7,data analysis python skills gain exploratory data analysis model evaluation data transformation data analysis data cleansing data manipulation data import export predictive modeling data preprocessing regression analysis data science statistical analysis pandas python package scikit machine library data driven decision making matplotlib data visualization numpy python programming data science data science,1,2,0.0,0.0,9.90353755128617,0.7199555959441691,0.2879822383776677
coursera_8,Coursera,Introduction to Data Science,"Skills you'll gain: SQL, Jupyter, Data Literacy, Data Mining, Data Modeling, Relational Databases, Stored Procedure, Model Deployment, Databases, Data Science, Big Data, Computer Programming Tools, Query Languages, GitHub, Data Preprocessing, Data Cleansing, R (Software), Cloud Computing, Data Analysis, Python Programming",Data Science,"data, science",IBM,0.0,102000,Free,Beginner,English,,https://www.coursera.org/specializations/introduction-data-science,,2026-01-29T14:46:31.039435,8,data science skills gain sql jupyter data literacy data mining data modeling relational databases stored procedure model deployment databases data science big data computer programming tools query languages github data preprocessing data cleansing software cloud computing data analysis python programming data science data science,1,1,0.0,0.0,11.532737896139919,0.8383932652231931,0.3353573060892773
coursera_9,Coursera,Applied Data Science with Python,"Skills you'll gain: Matplotlib, Network Analysis, Social Network Analysis, Feature Engineering, Data Visualization, Pandas (Python Package), Data Visualization Software, Interactive Data Visualization, Model Evaluation, Scientific Visualization, Applied Machine Learning, Supervised Learning, Text Mining, Visualization (Computer Graphics), Data Manipulation, NumPy, Graph Theory, Data Preprocessing, Natural Language Processing, Python Programming",Data Science,"data, science",University of Michigan,0.0,34000,Free,Intermediate,English,,https://www.coursera.org/specializations/data-science-python,,2026-01-29T14:46:31.254709,9,applied data science python skills gain matplotlib network analysis social network analysis feature engineering data visualization pandas python package data visualization software interactive data visualization model evaluation scientific visualization applied machine supervised text mining visualization computer graphics data manipulation numpy graph theory data preprocessing natural language processing python programming data science data science,1,2,0.0,0.0,10.434145214930487,0.7585290808947033,0.3034116323578813
coursera_10,Coursera,SQL for Data Science,"Skills you'll gain: Data Governance, SQL, Data Management, Data Quality, Database Design, Query Languages, Data Literacy, Data Manipulation, Data Modeling, Relational Databases, Data Science, Databases, Data Analysis, Data Transformation",Data Science,"data, science","University of California, Davis",0.0,17000,Free,Beginner,English,,https://www.coursera.org/learn/sql-for-data-science,,2026-01-29T14:46:31.480532,10,sql data science skills gain data governance sql data management data quality database design query languages data literacy data manipulation data modeling relational databases data science databases data analysis data transformation data science data science,1,1,0.0,0.0,9.741027444837728,0.7081416294772228,0.28325665179088916
